name,category,website,domain,email,all_emails,phone,address,city,state,postcode,country,lat,lon,logo_url,logo_path,logo_source,color_1,color_2,color_3,color_4,color_5,color_palette,instagram,facebook,linkedin,twitter,youtube,source,source_id,query,status,scraped_at,notes
Truffles Koramangala,burger,https://www.truffles.co.in/,truffles.co.in,info@truffles.net.in,info@truffles.net.in; .d@aset.mediaheightoverridetype; c@egorypagecontroller.bundle; c@egorypageviewerwidget.bundle; c@egorypageviewerwidgetnocss.bundle; com.wixpress.table-reserv@ions.experiences; createpl@formworker.inline; d@e.now,080 4153 6565,"Ground Floor, A Wing, Apex Building, 93/A, 4th B Cross Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,,,,,,"https://static.wixstatic.com/media/f90424_9367854a1d6f4ef98570d5dd3e3e1381~mv2.png/v1/fill/w_249,h_21,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Yellow%20Updated.png",output/logos/truffles.co.in.png,img-heuristic,#fcfc3c,#9c9c3c,#cccc24,#e4e454,#269195,"#fcfc3c, #9c9c3c, #cccc24, #e4e454, #269195",https://www.instagram.com/truffles.in,https://www.facebook.com/trufflesblrofficial,,,,gmaps,0x3bae1451d90b3e77:0x6297032c180f2bbd,burger in Bangalore,enriched,2026-08-24T12:36:47+00:00,
"Smash Guys - Burger Kitchen, Indiranagar",burger,https://www.smashguys.in/,smashguys.in,grievanceofficer@popoglobal.com,grievanceofficer@popoglobal.com; .d@aset.mediaheightoverridetype; c@egorypagecontroller.bundle; c@egorypageviewerwidget.bundle; c@egorypageviewerwidgetnocss.bundle; com.wixpress.table-reserv@ions.experiences; communic@ions.some; createpl@formworker.inline,080 4736 2227,"948, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560038",Bangalore,,,,,,https://static.wixstatic.com/media/8bd22c_c1dd9d434bb74e989696a7983b3900e4%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/8bd22c_c1dd9d434bb74e989696a7983b3900e4%7Emv2.png,output/logos/smashguys.in.png,apple-touch-icon,#fccc24,#fce43c,#fcfc54,#116dff,,"#fccc24, #fce43c, #fcfc54, #116dff",https://www.instagram.com/smashguys.in,,,,https://www.youtube.com/abgupta,gmaps,0x3bae17007d96d779:0x92bd31b1c4b3a7ae,burger in Bangalore,enriched,2026-08-24T12:37:14+00:00,
Burger Seigneur,burger,http://burgerseigneur.com/,burgerseigneur.com,,,,"470, 80 Feet Rd, opposite BSNL office, Hal, HAL 3rd Stage, Indiranagar, Bengaluru, Karnataka 560075",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae175ac87ec44f:0x8e900c06f01d0eab,burger in Bangalore,failed,2026-08-24T12:37:40+00:00,homepage fetch failed: blocked by robots.txt
Beyondburg Inc. St. Mark's Road,burger,https://beyondburginc.com/,beyondburginc.com,expect@ions.the,expect@ions.the; loc@ions.the; wp.d@a.plugins; wp.d@a.use; wp.d@e.setsettings; gre@burgers.what; w@er.reducing,090729 64242,"16/1, House Of Lords, Ground floor, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Bangalore,,,,,,https://beyondburginc.com/wp-content/uploads/2026/01/BYND-GREEN-LOGO.png,output/logos/beyondburginc.com.webp,img-heuristic,#cc1818,#24543c,#9e1313,#710d0d,#dddddd,"#cc1818, #24543c, #9e1313, #710d0d, #dddddd",,,,,,gmaps,0x3bae17571e00d023:0x741c195a522594e7,burger in Bangalore,enriched,2026-08-24T12:38:07+00:00,
Sanky's Burger House,burger,,,,,098867 38143,"Bus Stop, 50, Hennur Main Rd, opp. Jyothi School, St Thomas Town, Kacharakanahalli, Bengaluru, Karnataka 560084",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae171f9e9b401d:0x9fd9cfa7e6ca3009,burger in Bangalore,no_website,2026-08-24T12:38:33+00:00,no website to enrich
Original Burger Co. : Kalyan Nagar,burger,https://originalburger.co/,originalburger.co,,,,"No. 2116 (BBMP #12), 4th Cross, CMR Road, HRBR Layout 2nd Block Kalyan Nagar, B.B, M.P North, Hebbal, Bengaluru, Karnataka 560043",Bangalore,,,,,,https://originalburger.co/favicon.png,output/logos/originalburger.co.png,apple-touch-icon,#2424b4,#3c3cb4,#e4e4fc,#5454cc,#6c6ccc,"#2424b4, #3c3cb4, #e4e4fc, #5454cc, #6c6ccc",,,,,,gmaps,0x3bae1716128bd7cb:0xbc8b35cbfcf23dc4,burger in Bangalore,enriched,2026-08-24T12:38:59+00:00,no email found
Original Burger Co. : Koramangala Bangalore,burger,https://originalburger.co/,originalburger.co,,,096061 54669,"Ground Floor, opposite to Sri Krishna Temple, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,,,,,,https://originalburger.co/favicon.png,output/logos/originalburger.co.png,apple-touch-icon,#2424b4,#3c3cb4,#e4e4fc,#5454cc,#6c6ccc,"#2424b4, #3c3cb4, #e4e4fc, #5454cc, #6c6ccc",,,,,,gmaps,0x3bae15ad5045f645:0x64b09e6e1f75a994,burger in Bangalore,enriched,2026-08-24T12:39:26+00:00,no email found
Beyondburg Inc. Indiranagar,burger,https://beyondburginc.com/,beyondburginc.com,expect@ions.the,expect@ions.the; loc@ions.the; wp.d@a.plugins; wp.d@a.use; wp.d@e.setsettings; gre@burgers.what; w@er.reducing,090712 22263,"267, Ground Floor, 1st Main, 2nd Stage, Indiranagar, Domlur, Bengaluru, Karnataka 560071",Bangalore,,,,,,https://beyondburginc.com/wp-content/uploads/2026/01/BYND-GREEN-LOGO.png,output/logos/beyondburginc.com.webp,img-heuristic,#cc1818,#24543c,#9e1313,#710d0d,#dddddd,"#cc1818, #24543c, #9e1313, #710d0d, #dddddd",,,,,,gmaps,0x3bae1542b98b791d:0xa4bdc0590805d3a4,burger in Bangalore,enriched,2026-08-24T12:39:52+00:00,
Biggies Burger: Church Street,burger,https://www.biggiesburger.com/stores,biggiesburger.com,info@biggiesburger.com,info@biggiesburger.com; .d@aset.mediaheightoverridetype; c@egorymenuviewerwidget.bundle; c@egorymenuviewerwidgetnocss.bundle; c@egorypagecontroller.bundle; c@egorypageviewerwidget.bundle; c@egorypageviewerwidgetnocss.bundle; com.wixpress.live.site.d@a.types,073034 47342,"Church St, Haridevpur, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Bangalore,,,,,,"https://static.wixstatic.com/media/7971e4_8da5ea0f338143c6ae0114313f33918c~mv2.png/v1/fill/w_133,h_72,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Final%20Logo%20Biggies%20Burger%20White%202.png",output/logos/biggiesburger.com.png,img-heuristic,#fcfce4,#fce46c,#e4e4e4,#cccccc,#0f2ccf,"#fcfce4, #fce46c, #e4e4e4, #cccccc, #0f2ccf",https://www.instagram.com/biggiesburger,https://www.facebook.com/biggiesburger,https://www.linkedin.com/company/28724814/admin,https://twitter.com/biggiesburger,https://www.youtube.com/results,gmaps,0x3bae1789671674cf:0x55ab62b62e470e1e,burger in Bangalore,enriched,2026-08-24T12:40:18+00:00,
"Smash Guys - Burger Kitchen, Bellandur",burger,https://www.smashguys.in/,smashguys.in,grievanceofficer@popoglobal.com,grievanceofficer@popoglobal.com; .d@aset.mediaheightoverridetype; c@egorypagecontroller.bundle; c@egorypageviewerwidget.bundle; c@egorypageviewerwidgetnocss.bundle; com.wixpress.table-reserv@ions.experiences; communic@ions.some; createpl@formworker.inline,080 4736 2227,"Ground Floor, Campus 6A, Unit 25, RMZ Ecoworld Rd, Bellandur, Bengaluru, Karnataka 560103",Bangalore,,,,,,https://static.wixstatic.com/media/8bd22c_c1dd9d434bb74e989696a7983b3900e4%7Emv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/8bd22c_c1dd9d434bb74e989696a7983b3900e4%7Emv2.png,output/logos/smashguys.in.png,apple-touch-icon,#fccc24,#fce43c,#fcfc54,#116dff,,"#fccc24, #fce43c, #fcfc54, #116dff",https://www.instagram.com/smashguys.in,,,,https://www.youtube.com/abgupta,gmaps,0x3bae13bf09dac673:0x33d29c2c4c2df8e1,burger in Bangalore,enriched,2026-08-24T12:40:45+00:00,
GOOD FLIPPIN' BURGERS® - Church Street,burger,https://stores.goodflippin.com/store-pages/good-flippin-burgers-church-street-bangalore/,goodflippin.com,info@goodflippin.com,info@goodflippin.com; churchstreet@goodflippin.com; .wp-block-post-templ@e.is; arrlivest@s.length; asl-storeloc@or.asl; m@h.min; m@h.random,1800 202 3312,"Church St, off Brigade Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Bangalore,,,,,,https://stores.goodflippin.com/wp-content/uploads/2025/05/cropped-GFB-New-Logo-12.2024.png,output/logos/goodflippin.com.png,img-heuristic,#007bff,#2f5aae,#e42454,#6c757d,#0cb4b4,"#007bff, #2f5aae, #e42454, #6c757d, #0cb4b4",https://www.instagram.com/goodflippin,https://www.facebook.com/Goodflippin,https://www.linkedin.com/company/good-flippin-food-pvt-ltd,,https://www.youtube.com/embed/euCqTDV6bbc,gmaps,0x3bae1772691f338b:0x15755afef92a17b6,burger in Bangalore,enriched,2026-08-24T12:41:11+00:00,
Leon's Burgers & Wings Indiranagar,burger,https://leons.in/,leons.in,milenabbrandao@gmail.com,milenabbrandao@gmail.com; ceo@leongrill.net; support.crm@leongrill.net; d@a.decline; email@support.crm; navig@or.serviceworker; registr@ion.send; th@information.leon,096069 89821,"No. 839/1 Binnamangala, BBMP South, First Stage, Indiranagar, Bengaluru, Karnataka 560038",Bangalore,,,,,,"https://img1.wsimg.com/isteam/ip/a3df0084-b888-4771-ae8e-96bba91ded74/blob.png/:/rs=w:57,h:57,m",output/logos/leons.in.webp,apple-touch-icon,#b12727,#fc3c3c,#e45454,#e43c54,#303030,"#b12727, #fc3c3c, #e45454, #e43c54, #303030",https://www.instagram.com/leonsindia,https://www.facebook.com/leonsindia,https://www.linkedin.com/company/leonsindia,,,gmaps,0x3bae16a5156a37e1:0xb98180e08e9b6c7f,burger in Bangalore,enriched,2026-08-24T12:41:38+00:00,
Biggies Burger: AECS Layout,burger,https://www.biggiesburger.com/stores,biggiesburger.com,info@biggiesburger.com,info@biggiesburger.com; .d@aset.mediaheightoverridetype; c@egorymenuviewerwidget.bundle; c@egorymenuviewerwidgetnocss.bundle; c@egorypagecontroller.bundle; c@egorypageviewerwidget.bundle; c@egorypageviewerwidgetnocss.bundle; com.wixpress.live.site.d@a.types,,"Avalon Arcade, #313/314 Aecs B Block Kundalahalli Mahadevpura, B.B, M.P East, Mahadevapura, Bengaluru, Karnataka 560037",Bangalore,,,,,,"https://static.wixstatic.com/media/7971e4_8da5ea0f338143c6ae0114313f33918c~mv2.png/v1/fill/w_133,h_72,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Final%20Logo%20Biggies%20Burger%20White%202.png",output/logos/biggiesburger.com.png,img-heuristic,#fcfce4,#fce46c,#e4e4e4,#cccccc,#0f2ccf,"#fcfce4, #fce46c, #e4e4e4, #cccccc, #0f2ccf",https://www.instagram.com/biggiesburger,https://www.facebook.com/biggiesburger,https://www.linkedin.com/company/28724814/admin,https://twitter.com/biggiesburger,https://www.youtube.com/results,gmaps,0x3bae13a767d4cb0f:0x12bb9951684964a7,burger in Bangalore,enriched,2026-08-24T12:42:04+00:00,
Backyard Burgers And Grill,burger,https://backyardburgersgrill.petpooja.com/,petpooja.com,,,088614 80534,"Ground Floor, No. 57, 100 Feet Rd, beside Speedo, Defence Colony, Indiranagar, Bengaluru, Karnataka 560038",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae17e37ff3027d:0xc8219a93491b7065,burger in Bangalore,failed,2026-08-24T12:42:30+00:00,homepage fetch failed: HTTP 500
Leon's Burgers & Wings Rajajinagar,burger,https://leons.in/,leons.in,milenabbrandao@gmail.com,milenabbrandao@gmail.com; ceo@leongrill.net; support.crm@leongrill.net; d@a.decline; email@support.crm; navig@or.serviceworker; registr@ion.send; th@information.leon,096069 89818,"722, Savitru elegance, Modi Hospital Rd, WCR, Stage 2, Bengaluru, Karnataka 560010",Bangalore,,,,,,"https://img1.wsimg.com/isteam/ip/a3df0084-b888-4771-ae8e-96bba91ded74/blob.png/:/rs=w:57,h:57,m",output/logos/leons.in.webp,apple-touch-icon,#b12727,#fc3c3c,#e45454,#e43c54,#303030,"#b12727, #fc3c3c, #e45454, #e43c54, #303030",https://www.instagram.com/leonsindia,https://www.facebook.com/leonsindia,https://www.linkedin.com/company/leonsindia,,,gmaps,0x3bae3d581ac61935:0x418df467a4ec6a7e,burger in Bangalore,enriched,2026-08-24T12:42:57+00:00,
Simon Burgers,burger,,,,,095911 84263,"Unit 6, Vivekananda swamy, 38, 3rd Cross Rd, near Sri Venkateswara Garments, Indra Nagar, Ramaiah Layout, Kammanahalli, Bengaluru, Karnataka 560084",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae17f8b581acd3:0x17332e93acec5644,burger in Bangalore,no_website,2026-08-24T12:43:23+00:00,no website to enrich
BurgerMan Indira Nagar,burger,https://stores.burgerman.in/burgerman-restaurants-indiranagar-bengaluru-397097/Home?utm_source=locator&utm_medium=googleplaces,burgerman.in,,,081971 46681,"No 3282, 1, 12th Main Rd, HAL 2nd Stage, Appareddipalya, Indiranagar, Bengaluru, Karnataka 560008",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae17cfda235d41:0x9bd7ecb18bf61cce,burger in Bangalore,failed,2026-08-24T12:43:50+00:00,"homepage fetch failed: CertificateVerifyError: Failed to perform, curl: (60) SSL certificate OpenSSL verify result: certificate has expired (10). See https://curl.se/libcurl/c/libcurl-errors.html first for more details."
Original Burger Co. : JP Nagar,burger,https://www.originalburger.co/,originalburger.co,,,090080 73254,"No. 293, Ground Floor, 15th Cross, Sarakki, 5th Phase, JP Nagar, Bangalore BTM Layout, B.B, M.P South, Bengaluru, Karnataka 560078",Bangalore,,,,,,https://www.originalburger.co/favicon.png,output/logos/originalburger.co.png,apple-touch-icon,#2424b4,#3c3cb4,#e4e4fc,#5454cc,#6c6ccc,"#2424b4, #3c3cb4, #e4e4fc, #5454cc, #6c6ccc",,,,,,gmaps,0x3bae150071e17b69:0x9e8b692b03714014,burger in Bangalore,enriched,2026-08-24T12:44:16+00:00,no email found
"Louis Burger, Indiranagar",burger,,,,,063663 93732,"212/A, 1st Main Rd, Stage 2, Indiranagar, Bengaluru, Karnataka 560071",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae15246f7bb10d:0x4375eb4fd7ec8ae2,burger in Bangalore,no_website,2026-08-24T12:44:42+00:00,no website to enrich
GOOD FLIPPIN' BURGERS® - Whitefield,burger,https://stores.goodflippin.com/store-pages/good-flippin-burgers-whitefield-bangalore/,goodflippin.com,info@goodflippin.com,info@goodflippin.com; whitefield@goodflippin.com; .wp-block-post-templ@e.is; arrlivest@s.length; asl-storeloc@or.asl; m@h.random,1800 202 3312,"No.710, Kitchens@Whitefield, Varthur Main Rd, BEML Layout, Whitefield, Bengaluru, Karnataka 560066",Bangalore,,,,,,https://stores.goodflippin.com/wp-content/uploads/2025/05/cropped-GFB-New-Logo-12.2024.png,output/logos/goodflippin.com.png,img-heuristic,#007bff,#2f5aae,#e42454,#6c757d,#0cb4b4,"#007bff, #2f5aae, #e42454, #6c757d, #0cb4b4",https://www.instagram.com/goodflippin,https://www.facebook.com/Goodflippin,https://www.linkedin.com/company/good-flippin-food-pvt-ltd,,https://www.youtube.com/embed/euCqTDV6bbc,gmaps,0x3bae13f01dac9a91:0x7b3c4fac5e2d1bed,burger in Bangalore,enriched,2026-08-24T12:45:09+00:00,
Original Burger Co. : Race Course Road,burger,https://www.originalburger.co/,originalburger.co,,,,"Unit No. 02. 45/1, Palace Road, High Grounds, Shivajinagara B.B, M.P East, Sampangirama Nagar, Bengaluru, Karnataka 560001",Bangalore,,,,,,https://www.originalburger.co/favicon.png,output/logos/originalburger.co.png,apple-touch-icon,#2424b4,#3c3cb4,#e4e4fc,#5454cc,#6c6ccc,"#2424b4, #3c3cb4, #e4e4fc, #5454cc, #6c6ccc",,,,,,gmaps,0x3bae1732b287d529:0x587e119583b93d37,burger in Bangalore,enriched,2026-08-24T12:45:35+00:00,no email found
Leon's Burgers & Wings Kalyan Nagar,burger,,,,,08071 176 444,"#527, Zebra Trade Center,4th Cross, CMR Road, 2nd Block, Kalyan Nagar HRBR Layout 560043, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043",Bangalore,,,,,,,,,,,,,,,,,,,,gmaps,0x3bae1725b8aa94fb:0xe9c3ba457a1fe3a3,burger in Bangalore,no_website,2026-08-24T12:46:01+00:00,no website to enrich
